,name,country,type,factor,position,club,values,
0,Etrit Berisha,al,player,0.25,GK,Empoli,"0,5,0,0,0,3,0,0,4,20,13,4,4,25,0",
0,Elhan Kastrati,al,player,0.05,GK,Cittadella,"0,0,0,0,0,0,0,0,0,5,0,0,0,0,0",
0,Thomas Strakosha,al,player,1.5151515151515151,GK,Brentford,"0,10,6,3,0,0,0,2,0,59,17,9,6,100,33",
0,Iván Balliu,al,player,0.12,DF,Rayo Vallecano,"0,0,0,0,5,8,4,0,3,5,7,6,7,12,0",
0,Mario Mitaj,al,player,0.92,DF,Lokomotiv Moscow,"0,20,7,6,0,6,7,5,13,32,21,24,13,92,39",
0,Elseid Hysaj,al,player,1.6666666666666667,DF,Lazio,"0,9,4,4,2,0,3,2,2,25,100,91,45,82,35",
0,Arlind Ajeti,al,player,0.38,DF,CFR Cluj,"0,6,0,0,0,6,0,0,0,20,0,7,0,38,0",
0,Berat Djimsiti,al,player,0.73,DF,Atalanta,"0,11,0,4,0,6,4,5,15,48,20,14,15,73,21",
0,Enea Mihaj,al,player,0.07,DF,Famalicão,"0,0,0,0,0,0,0,0,0,7,4,0,0,6,0",
0,Ardian Ismajli,al,player,0.04,DF,Empoli,"0,0,0,0,0,0,0,0,0,4,0,0,0,0,0",
0,Marash Kumbulla,al,player,0.06,DF,Sassuolo,"0,0,0,0,0,0,0,0,0,6,0,0,0,3,0",
0,Naser Aliji,al,player,0.06,DF,Voluntari,"0,6,0,4,0,0,0,0,0,0,0,0,0,0,0",
0,Klaus Gjasula,al,player,2.272727272727273,MF,Darmstadt 98,"0,0,0,0,0,0,0,0,0,2,0,0,0,100,43",
0,Nedim Bajrami,al,player,1.3888888888888888,MF,Sassuolo,"3,17,12,9,5,4,8,6,7,87,100,43,22,94,68",
0,Qazim Laçi,al,player,3.5714285714285716,MF,Sparta Prague,"0,6,2,0,0,0,2,0,0,4,0,0,0,100,24",
0,Medon Berisha,al,player,0.05,MF,Lecce,"0,0,0,0,3,0,0,0,0,5,0,5,0,4,0",
0,Ernest Muçi,al,player,0.27,MF,Beşiktaş,"4,5,6,5,4,0,0,5,6,27,18,13,8,27,14",
0,Ylber Ramadani,al,player,0.23,MF,Lecce,"0,6,0,5,0,0,4,0,0,15,10,7,0,23,13",
0,Kristjan Asllani,al,player,0.98,MF,Inter Milan,"5,11,9,8,0,6,5,14,13,72,48,30,17,98,59",
0,Amir Abrashi,al,player,0.05,MF,Grasshoppers,"0,0,0,0,0,0,0,0,0,5,0,0,0,4,0",
0,Rey Manaj,al,player,1.0309278350515463,FW,Sivasspor,"0,18,9,0,4,0,4,0,6,48,26,12,10,100,12",
0,Jasir Asani,al,player,1.2345679012345678,FW,Gwangju,"9,16,14,11,6,5,7,12,15,66,29,21,16,100,36",
0,Armando Broja,al,player,1.3333333333333333,FW,Fulham,"8,21,21,23,13,10,9,11,16,100,44,29,19,61,24",
0,Taulant Seferi,al,player,1.0,FW,Baniyas,"5,15,6,4,5,4,5,9,11,66,44,21,14,100,35",
0,Mirlind Daku,al,player,0.34,FW,Rubin Kazan,"0,0,0,4,0,0,0,0,7,6,8,6,4,34,16",
0,Arbër Hoxha,al,player,1.6129032258064515,FW,Dinamo Zagreb,"3,17,7,3,0,0,0,2,2,38,10,4,5,100,75",
0,Sylvinho /m/07zr38,al,trainer,1.0,,,"8,16,7,8,4,4,5,10,16,84,29,18,21,100,48",
0,empty2al,0,empty,0.0,,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", 
0,empty1al,0,empty,0.0,,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", 
0,Alex Remiro,es,player,0.1,GK,Real Sociedad,"2,4,5,2,1,2,2,2,2,10,4,3,2,1,3",
0,David Raya,es,player,0.17,GK,Arsenal,"4,4,5,1,1,1,1,2,2,17,4,2,2,2,1",
0,Unai Simon,es,player,1.408450704225352,GK,Athletic Bilbao,"2,3,14,3,2,5,4,3,4,100,19,65,45,20,23",
0,Alex Grimaldo,es,player,0.99,DF,Bayer Leverkusen,"11,45,99,14,11,9,6,7,12,72,12,5,5,5,4",
0,Aymeric Laporte,es,player,0.44,DF,Al Nassr,"5,10,26,20,12,9,8,17,22,44,13,12,8,8,7",
0,Dani Carvajal,es,player,3.125,DF,Real Madrid,"7,7,12,6,4,4,5,4,7,100,22,10,7,6,4",
0,Daniel Vivian,es,player,0.23,DF,Athletic Bilbao,"4,23,11,4,2,2,2,4,4,13,3,2,2,4,2",
0,Jesus Navas,es,player,0.58,DF,Sevilla,"5,10,58,10,8,5,4,5,8,30,8,5,7,6,4",
0,Marc Cucurella,es,player,7.6923076923076925,DF,Chelsea,"1,1,14,1,1,1,0,1,1,100,12,4,3,2,1",
0,Nacho,es,player,0.84,DF,Real Madrid,"19,24,33,16,10,10,8,23,29,84,23,15,14,12,11",
0,Robin Le Normand,es,player,2.3255813953488373,DF,Real Sociedad,"2,6,16,12,9,12,12,8,7,100,12,5,4,6,5",
0,Álex Baena,es,player,0.18,MF,Villarreal,"7,7,8,2,1,1,2,2,2,18,3,2,2,2,4",
0,Fabian Ruiz,es,player,7.142857142857143,MF,France Paris Saint-Germain,"0,1,5,1,0,0,0,0,0,100,21,6,1,3,4",
0,Fermin Lopez,es,player,0.27,MF,Barcelona,"16,16,18,7,6,7,13,16,9,27,8,7,14,8,5",
0,Martin Zubimendi,es,player,0.79,MF,Real Sociedad,"2,3,3,3,2,2,2,2,2,79,5,2,4,3,3",
0,Mikel Merino,es,player,0.47,MF,Real Sociedad,"40,20,15,7,4,4,11,6,4,47,5,3,19,17,9",
0,Pedri,es,player,1.0869565217391304,MF,Barcelona,"13,13,52,27,15,21,13,11,17,100,23,14,14,13,9",
0,Rodri,es,player,1.8181818181818181,MF,Manchester City,"4,5,14,4,4,6,4,4,11,100,25,8,7,7,7",
0,Alvaro Morata,es,player,4.545454545454546,FW,Atletico Madrid,"3,4,13,4,3,4,4,12,9,100,24,8,7,8,5",
0,Ayoze Perez,es,player,0.55,FW,Real Betis,"54,55,38,8,5,5,4,6,14,21,5,3,2,2,2",
0,Dani Olmo,es,player,1.5873015873015872,FW,RB Leipzig,"2,3,5,2,2,3,3,6,7,100,9,3,6,7,5",
0,Ferran Torres,es,player,0.41,FW,Barcelona,"11,10,9,4,4,4,15,7,6,41,7,5,5,4,3",
0,Joselu,es,player,0.48,FW,Real Madrid,"18,21,35,16,10,12,12,17,17,48,16,10,11,9,10",
0,Lamine Yamal,es,player,6.666666666666667,FW,Barcelona,"5,6,17,8,4,11,12,8,9,100,33,13,15,22,11",
0,Mikel Oyarzabal,es,player,0.37,FW,Real Sociedad,"15,6,16,5,2,2,2,2,2,37,3,2,2,3,2",
0,Nico Williams,es,player,1.5384615384615385,FW,Athletic Bilbao,"15,12,28,13,9,12,15,20,17,100,24,13,11,17,16",
0,Luis de la Fuente /g/120_rrs7,es,trainer,1.0,,,"11,38,27,8,4,5,5,7,16,100,24,9,20,20,12",
0,empty2es,0,empty,0.0,,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", 
0,empty1es,0,empty,0.0,,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", 
0,Dominik Livakovic,hr,player,0.61,GK,Fenerbahçe,"5,7,24,11,5,9,11,12,11,44,19,12,10,61,16",
0,Ivica Ivusic,hr,player,0.13,GK,Cyprus Pafos,"0,0,3,0,0,3,2,2,1,2,0,2,2,13,3",
0,Nediljko Labrović,hr,player,0.3,GK,Rijeka,"1,2,4,1,1,30,18,6,4,5,3,2,2,4,3",
0,Borna Sosa,hr,player,0.41,DF,Netherlands Ajax,"4,2,7,5,4,4,8,16,13,30,11,8,8,41,12",
0,Domagoj Vida,hr,player,0.23,DF,AEK Athens,"3,3,8,4,4,11,11,4,5,21,11,6,6,23,12",
0,Josip Juranovic,hr,player,0.35,DF,Union Berlin,"4,3,5,3,2,1,3,2,4,11,7,11,25,35,9",
0,Josip Stanišić,hr,player,0.62,DF,Bayer Leverkusen,"8,1,18,12,8,6,4,5,9,62,12,5,4,15,3",
0,Josip Šutalo,hr,player,0.9,DF,Netherlands Ajax,"2,2,17,7,7,9,4,5,7,75,13,6,7,90,21",
0,Josko Gvardiol,hr,player,1.694915254237288,DF,Manchester City,"9,9,47,28,17,17,21,32,30,100,36,22,21,71,25",
0,Marin Pongračić,hr,player,2.857142857142857,DF,Lecce,"1,1,28,9,5,2,2,4,6,100,12,5,3,4,2",
0,Martin Erlic,hr,player,0.26,DF,Sassuolo,"3,2,7,6,4,4,4,4,8,26,22,7,5,14,7",
0,Lovro Majer,hr,player,0.83,MF,VfL Wolfsburg,"5,4,21,10,6,7,10,10,8,83,25,21,11,53,12",
0,Luka Ivanušec,hr,player,0.1,MF,Netherlands Feyenoord,"1,0,8,3,2,1,3,10,3,6,3,2,2,7,5",
0,Luka Modric,hr,player,3.125,MF,Real Madrid,"21,19,56,31,17,17,18,19,30,100,35,20,34,79,35",
0,Luka Sucic,hr,player,2.7777777777777777,MF,Red Bull Salzburg,"3,3,25,11,3,2,2,2,3,29,5,2,3,100,20",
0,Marcelo Brozovic,hr,player,0.82,MF,Al Nassr,"5,9,33,12,5,5,5,5,8,57,28,16,19,82,54",
0,Mario Pasalic,hr,player,0.61,MF,Atalanta,"5,3,13,4,3,4,3,6,6,38,11,7,29,61,13",
0,Martin Baturina,hr,player,1.5384615384615385,MF,Dinamo Zagreb,"5,3,5,4,3,2,3,10,5,7,4,3,3,100,15",
0,Mateo Kovacic,hr,player,0.66,MF,Manchester City,"5,5,20,9,6,17,13,9,10,63,26,20,14,66,26",
0,Nikola Vlašić,hr,player,0.4,MF,Torino,"1,2,10,2,3,3,1,2,2,6,4,2,30,40,39",
0,Andrej Kramarić,hr,player,1.6129032258064515,FW,TSG Hoffenheim,"2,2,9,4,3,3,3,4,5,35,9,13,7,100,26",
0,Ante Budimir,hr,player,1.3513513513513513,FW,Osasuna,"1,2,44,22,17,6,17,9,7,100,13,6,5,88,16",
0,Bruno Petkovic,hr,player,0.92,FW,Dinamo Zagreb,"7,7,16,9,8,14,15,12,14,83,92,56,31,70,20",
0,Ivan Perisic,hr,player,1.0101010101010102,FW,Hajduk Split,"12,9,27,11,8,12,11,12,14,100,27,18,20,85,23",
0,Marco Pasalic,hr,player,0.22,FW,Rijeka,"9,7,13,8,5,8,7,14,10,21,12,8,6,22,12",
0,Marko Pjaca,hr,player,0.19,FW,Rijeka,"11,6,7,6,4,5,5,6,5,15,6,4,4,19,9",
0,Zlatko Dalic /m/04jj8lm,hr,trainer,1.0,,,"8,12,29,18,56,22,11,10,27,72,85,40,27,100,65",
0,empty2hr,0,empty,0.0,,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", 
0,empty1hr,0,empty,0.0,,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", 
0,Gianluigi Donnarumma,it,player,1.36986301369863,GK,Paris Saint-Germain,"2,3,3,10,3,5,3,3,9,100,17,7,5,6,4",
0,Guglielmo Vicario,it,player,0.05,GK,Tottenham Hotspur,"4,3,4,4,2,2,2,1,2,5,3,1,1,1,1",
0,Alex Meret,it,player,0.04,GK,Napoli,"2,2,2,2,1,1,1,1,1,4,2,1,1,1,0",
0,Giovanni Di Lorenzo,it,player,0.6,DF,Napoli,"6,6,7,9,35,55,41,21,22,60,17,11,7,9,8",
0,Federico Dimarco,it,player,1.0309278350515463,DF,Inter Milan,"2,2,2,6,2,2,2,9,3,100,22,7,4,3,3",
0,Alessandro Buongiorno,it,player,0.18,DF,Torino,"5,4,9,18,6,5,4,3,7,11,8,4,4,5,4",
0,Gianluca Mancini,it,player,0.06,DF,Roma,"2,1,2,2,1,1,1,1,1,4,2,6,2,2,1",
0,Matteo Darmian,it,player,0.21,DF,Inter Milan,"1,1,1,8,1,1,1,1,1,21,4,2,1,1,1",
0,Riccardo Calafiori,it,player,3.3333333333333335,DF,Bologna,"3,3,2,8,2,2,3,3,4,100,42,20,11,7,7",
0,Raoul Bellanova,it,player,0.3,DF,Torino,"3,3,4,30,4,3,2,4,4,8,5,3,3,4,3",
0,Alessandro Bastoni,it,player,1.1904761904761905,DF,Inter Milan,"2,1,2,3,2,2,1,1,2,100,25,8,5,5,4",
0,Andrea Cambiaso,it,player,0.57,DF,Juventus,"2,2,2,14,2,2,2,1,2,57,8,8,3,2,2",
0,Federico Gatti,it,player,0.04,DF,Juventus,"2,1,1,1,2,2,1,1,1,4,2,1,1,1,1",
0,Nicolo Barella,it,player,2.5,MF,Inter Milan,"10,15,12,8,4,7,6,4,5,100,36,16,7,7,7",
0,Davide Frattesi,it,player,0.76,MF,Inter Milan,"3,3,3,36,13,39,17,8,8,76,16,17,10,6,6",
0,Jorginho,it,player,1.0869565217391304,MF,Arsenal,"2,2,2,14,2,2,2,2,4,100,15,4,4,3,2",
0,Lorenzo Pellegrini,it,player,0.72,MF,Roma,"6,72,7,5,3,2,3,2,3,56,9,4,3,6,5",
0,Bryan Cristante,it,player,0.18,MF,Roma,"1,1,1,3,1,1,1,2,1,18,2,2,2,2,1",
0,Nicolo Fagioli,it,player,0.13,MF,Juventus,"7,5,3,13,4,5,6,9,7,12,5,3,2,2,3",
0,Michael Folorunsho,it,player,2.127659574468085,MF,Hellas Verona,"13,10,9,24,5,6,3,2,2,100,15,4,2,8,8",
0,Mateo Retegui,it,player,0.27,FW,Genoa,"5,3,10,12,3,6,4,4,5,27,7,3,4,4,3",
