,date
0,2024-06-01
1,2024-06-02
2,2024-06-03
3,2024-06-04
4,2024-06-05
5,2024-06-06
6,2024-06-07
7,2024-06-08
8,2024-06-09
9,2024-06-10
10,2024-06-11
11,2024-06-12
12,2024-06-13
13,2024-06-14
