,name,country,type,factor,position,club,values,
0,Deniz Undav,de,player,0.07,FW,Stuttgart,"2,1,7,2,1,1,2,1,1,1,1,1,2,6",
0,Maximilian Beier,de,player,0.29,FW,Hoffenheim,"0,0,29,9,3,2,4,1,1,1,0,1,1,4",
0,Kai Havertz,de,player,0.76,FW,Arsenal,"2,1,5,1,1,1,9,3,2,2,2,2,2,76",
0,Thomas Muller,de,player,1.5384615384615385,FW,Bayern Munich,"7,4,10,4,3,5,4,3,3,2,3,3,4,100",
0,Julian Nagelsmann /g/11bwjbhzf8.3,de,trainer,1.0,,,"6,6,15,4,8,4,14,6,3,2,3,4,6,100",
0,empty2de,0,empty,0.0,,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0", 
0,empty1de,0,empty,0.0,,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0", 
0,Peter Gulacsi,hu,player,0.61,GK,RB Leipzig,"0,0,0,0,19,14,17,61,18,12,21,15,18,32",
0,Denes Dibusz,hu,player,0.2,GK,Ferencvaros,"0,0,0,0,20,7,10,20,9,8,0,8,12,19",
0,Peter Szappanos,hu,player,0.18,GK,Paksi FC,"0,0,0,0,11,13,5,9,4,5,0,11,18,11",
0,Botond Balogh,hu,player,0.09,DF,Parma,"0,0,0,0,4,0,6,9,0,4,0,0,0,4",
0,Endre Botka,hu,player,0.11,DF,Ferencvaros,"0,0,0,0,0,0,4,11,4,4,0,0,6,6",
0,Márton Dárdai,hu,player,0.14,DF,Hertha Berlin,"0,0,0,0,14,5,4,13,0,4,5,4,13,13",
0,Attila Fiola,hu,player,0.43,DF,Fehervar,"0,0,0,0,0,0,4,43,5,5,6,7,26,42",
0,Milos Kerkez,hu,player,1.1363636363636365,DF,Bournemouth,"0,0,0,0,26,66,31,100,26,18,17,16,23,28",
0,Adam Lang,hu,player,0.2,DF,Omonia Nicosia,"0,0,0,0,20,6,7,17,9,8,0,5,6,11",
0,Willi Orban,hu,player,0.87,DF,RB Leipzig,"0,0,0,0,6,4,11,87,16,7,8,7,28,41",
0,Zsolt Nagy,hu,player,0.28,DF,Puskas Akademia,"0,0,0,0,0,0,0,28,4,5,0,0,0,8",
