,name,country,type,factor,position,club,values,
0,Gregor Kobel,ch,player,0.1,GK,Borussia Dortmund,"0,2,4,7,3,2,2,2,2,4,10,4,6,2,5,0",
0,Yvon Mvogo,ch,player,0.03,GK,Lorient,"0,1,1,2,0,0,0,0,0,1,3,1,1,0,2,0",
0,Yann Sommer,ch,player,1.0416666666666667,GK,Inter Milan,"17,7,6,22,8,5,5,7,8,14,100,21,13,11,71,23",
0,Manuel Akanji,ch,player,0.43,DF,Manchester City,"0,4,3,9,3,1,2,2,2,4,34,8,4,8,43,15",
0,Nico Elvedi,ch,player,0.09,DF,Borussia Mönchengladbach,"0,1,1,9,1,1,1,1,0,2,5,1,1,1,3,0",
0,Ricardo Rodriguez,ch,player,0.75,DF,Torino,"0,1,2,14,4,2,2,2,2,3,63,8,3,3,75,10",
0,Fabian Schär,ch,player,0.58,DF,Newcastle United,"0,1,1,3,1,1,1,1,1,2,39,5,1,1,58,25",
0,Leonidas Stergiou,ch,player,0.36,DF,VfB Stuttgart,"10,1,4,13,1,1,1,1,1,1,36,5,2,1,11,4",
0,Silvan Widmer,ch,player,0.16,DF,Mainz 05,"0,1,1,14,2,0,1,1,1,1,16,2,1,2,15,0",
0,Cédric Zesiger,ch,player,0.04,DF,VfL Wolfsburg,"0,0,1,4,1,0,0,0,0,1,3,2,1,0,1,0",
0,Michel Aebischer,ch,player,2.127659574468085,MF,Bologna,"0,0,0,3,0,0,0,0,0,0,100,16,10,3,10,2",
0,Remo Freuler,ch,player,0.28,MF,Bologna,"0,1,1,5,1,1,1,1,1,2,28,3,1,1,12,0",
0,Ardon Jashari,ch,player,0.05,MF,Luzern,"0,1,3,4,1,1,1,1,1,2,5,2,1,1,3,0",
0,Fabian Rieder,ch,player,0.19,MF,Rennes,"0,1,2,2,1,1,1,0,1,1,19,2,2,1,16,0",
0,Xherdan Shaqiri,ch,player,3.0303030303030303,MF,Chicago Fire FC,"0,2,2,10,3,2,2,2,6,8,36,10,6,5,100,67",
0,Vincent Sierro,ch,player,0.44,MF,Toulouse,"0,2,3,8,2,1,0,1,1,1,16,5,1,1,44,10",
0,Granit Xhaka,ch,player,1.0869565217391304,MF,Bayer Leverkusen,"0,6,5,17,5,4,5,5,14,18,100,30,13,13,69,24",
0,Denis Zakaria,ch,player,0.05,MF,Monaco,"0,0,1,3,1,0,1,1,1,1,5,2,1,1,2,0",
0,Zeki Amdouni,ch,player,0.29,FW,Burnley,"0,2,3,10,2,2,2,2,2,4,29,3,2,1,18,3",
0,Kwadwo Duah,ch,player,5.882352941176471,FW,Ludogorets Razgrad,"2,1,1,1,0,0,0,0,0,0,100,14,5,2,3,1",
0,Breel Embolo,ch,player,1.7857142857142858,FW,Monaco,"0,1,1,6,3,2,1,1,2,3,100,21,11,7,40,11",
0,Dan Ndoye,ch,player,0.86,FW,Bologna,"0,1,2,16,2,1,1,1,1,2,86,8,4,1,77,19",
0,Noah Okafor,ch,player,0.12,FW,Milan,"0,1,1,12,2,2,1,1,1,2,9,3,1,1,7,5",
0,Renato Steffen,ch,player,0.02,FW,Lugano,"0,1,1,1,1,0,1,1,1,1,2,1,1,0,2,0",
0,Ruben Vargas,ch,player,0.9,FW,Augsburg,"0,1,3,20,3,2,1,2,2,4,90,10,4,5,90,17",
0,Andi Zeqiri,ch,player,0.09,FW,Genk,"0,1,9,4,1,0,0,0,0,0,1,0,0,0,1,0",
0,Steven Zuber,ch,player,0.21,FW,AEK,"10,3,3,21,9,5,3,4,3,4,9,4,2,2,5,0",
0,Murat Yakin /m/021xh2,ch,trainer,1.0,,,"0,2,6,18,4,2,2,2,8,8,100,21,7,31,84,26",
0,empty2ch,0,empty,0.0,,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", 
0,empty1ch,0,empty,0.0,,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", 
0,Manuel Neuer,de,player,0.96,GK,Bayern Munich,"5,5,20,18,6,6,7,6,6,94,25,13,23,14,96,27",
0,Oliver Baumann,de,player,0.02,GK,Hoffenheim,"0,0,2,1,0,0,0,0,0,2,0,0,0,0,1,0",
0,Marc-Andre Ter Stegen,de,player,0.15,GK,Barcelona,"5,3,7,7,3,3,3,2,3,15,4,3,4,2,6,4",
0,Antonio Rudiger,de,player,0.85,DF,Real Madrid,"7,3,10,3,2,2,4,5,5,85,32,14,8,5,52,15",
0,Nico Schlotterbeck,de,player,0.03,DF,Borussia Dortmund,"1,0,3,1,1,1,1,1,1,3,1,1,1,1,2,1",
0,David Raum,de,player,0.03,DF,RB Leipzig,"1,1,3,1,0,0,0,0,0,1,1,1,1,1,1,0",
0,Waldemar Anton,de,player,0.02,DF,Stuttgart,"1,0,1,0,0,0,1,1,1,2,1,1,2,2,2,1",
0,Jonathan Tah,de,player,0.36,DF,Bayer Leverkusen,"6,3,4,1,1,2,5,3,3,36,6,3,2,2,22,7",
0,Robin Koch,de,player,0.02,DF,Eintracht Frankfurt,"0,1,1,0,0,0,0,0,0,2,1,0,1,1,1,1",
0,Maximilian Mittelstädt,de,player,0.52,DF,Stuttgart,"1,1,3,1,1,1,1,1,1,52,7,6,2,5,24,8",
0,Benjamin Henrichs,de,player,0.03,DF,RB Leipzig,"0,0,3,1,0,0,0,0,0,1,1,0,0,0,1,0",
0,Joshua Kimmich,de,player,0.32,DF/MF,Bayern Munich,"2,2,5,2,2,2,2,5,4,31,10,7,4,4,32,8",
0,Ilkay Gundogan,de,player,1.0309278350515463,MF,Barcelona,"1,2,6,2,1,1,1,1,2,67,14,8,3,3,100,42",
0,Leroy Sane,de,player,0.46,MF,Bayern Munich,"1,2,5,2,1,1,1,1,2,46,8,4,3,2,32,10",
0,Jamal Musiala,de,player,1.8518518518518519,MF,Bayern Munich,"1,1,5,2,1,1,1,2,2,82,26,13,8,6,100,43",
