,date
0,2024-06-05
1,2024-06-06
2,2024-06-07
3,2024-06-08
4,2024-06-09
5,2024-06-10
6,2024-06-11
7,2024-06-12
8,2024-06-13
9,2024-06-14
10,2024-06-15
11,2024-06-16
12,2024-06-17
13,2024-06-18
14,2024-06-19
15,2024-06-20
