,date
0,2024-06-06
1,2024-06-07
2,2024-06-08
3,2024-06-09
4,2024-06-10
5,2024-06-11
6,2024-06-12
7,2024-06-13
8,2024-06-14
9,2024-06-15
10,2024-06-16
11,2024-06-17
12,2024-06-18
13,2024-06-19
14,2024-06-20
15,2024-06-21
